编号,图片文件,文字文件,管段编号,管径,缺陷名称,等级,距离,时钟表示,修复建议,原始图片rid,原始图片路径,Word块序号,备注,原始文字
001,images/001.png,texts/001.txt,W3-W2,DN300,CW,2,4.8,-,局部现场固化法修复,rId27,word/media/image13.png,237,,管段编号W3-W2管径DN300缺陷名称CW等级2距离4.8时钟表示-错位（2级）：中度错位：错位距离在管壁厚度1／2及1倍之间。（局部现场固化法修复）
002,images/002.png,texts/002.txt,W4-W3,DN300,ZA,3,16.18,-,特殊疏通处理,rId28,word/media/image14.png,240,,管段编号W4-W3管径DN300缺陷名称ZA等级3距离16.18时钟表示-障碍物（3级）：断面损失为15%~30%（特殊疏通处理）
003,images/003.png,texts/003.txt,W8-W9,DN300,SG,2,20.36,-,局部开挖处理/CIPP紫外线光固化整体修复,rId29,word/media/image15.png,243,,管段编号W8-W9管径DN300缺陷名称SG等级2距离20.36时钟表示-树根（2级）过水断面积损失量在5%~15%之间（局部开挖处理/CIPP紫外线光固化整体修复）
004,images/004.png,texts/004.txt,W8-W9,DN300,SG,3,20.91,-,局部开挖处理/CIPP紫外线光固化整体修复,rId30,word/media/image16.png,248,,管段编号W8-W9管径DN300缺陷名称SG等级3距离20.91时钟表示-树根（3级）过水断面积损失量在15%~30%之间。局部开挖处理/CIPP紫外线光固化整体修复）
005,images/005.png,texts/005.txt,W8-W9,DN300,SG,2,23.69,-,局部开挖处理/CIPP紫外线光固化整体修复,rId31,word/media/image17.png,252,,管段编号W8-W9管径DN300缺陷名称SG等级2距离23.69时钟表示-树根（2级）过水断面积损失量在5%~15%之间。局部开挖处理/CIPP紫外线光固化整体修复）
006,images/006.png,texts/006.txt,W8-W201,DN200,CW,3,1.2,-,开挖处理,rId32,word/media/image18.png,256,,管段编号W8-W201管径DN200缺陷名称CW等级3距离1.2时钟表示-错位（3级）：重度错位：错位距离为管壁厚度1至2倍。（开挖处理）
007,images/007.png,texts/007.txt,W8-W201,DN200,ZA,3,3.6,-,开挖处理,rId33,word/media/image19.png,262,,管段编号W8-W201管径DN200缺陷名称ZA等级3距离3.6时钟表示-障碍物（3级）：断面损失为15%~30%（开挖处理）
008,images/008.png,texts/008.txt,W10-W9,DN300,PL,2,16.21,-,局部现场固化法修复,rId34,word/media/image20.png,266,,管段编号W10-W9管径DN300缺陷名称PL等级2距离16.21时钟表示-破裂（2级）:裂口：破裂处已形成明显间隙，但管道的形状未受影响且破裂无脱落。（局部现场固化法修复）
009,images/009.png,texts/009.txt,W10-W11,DN300,ZA,4,8.37,-,特殊疏通处理,rId35,word/media/image21.png,270,,管段编号W10-W11管径DN300缺陷名称ZA等级4距离8.37时钟表示-障碍物（4级）：断面损失大于30%（特殊疏通处理）
010,images/010.png,texts/010.txt,W10-W11,DN300,ZA,4,1,-,特殊疏通处理,rId36,word/media/image22.png,278,,管段编号W10-W11管径DN300缺陷名称ZA等级4距离1时钟表示-障碍物（4级）：断面损失大于30%（特殊疏通处理）
